study_title,value_MONDO,value_BTO,value_UBERON,value_MEDDRA,value_DRON
genome-wide modelling of transcription kinetics reveals patterns of rna processing delays,null,null,null,null,rna
massive transcriptional start site mapping of human cells under hypoxic conditions,null,null,null,human,site
next generation sequencing facilitates comparisons of control and schizophrenia-patient derived hipsc-derived npcs,schizophrenia (disease),null,null,schizophrenia,null
"rna seq data: a375, a375r, a375dr vorinostat treated, and biopy samples from patients pre- and post- treated with vorinostat",null,null,pigmented layer of retina,null,rna
the genetics and regulatory logic of alternative polyadenylation in human lymphoblastoid cells,null,null,null,human,null
toxicity of indoxyl sulfate to human t cells,null,null,null,human,null
aicda-induced epigenetic plasticity accelerates germinal center-derived lymphomagenesis,null,germinal center,germinal center,null,null
genomic and epigenomic study of human samples and cells,null,null,null,human,null
global identification of target recognition and cleavage by the microprocessor in human escs.,enhanced s-cone syndrome,null,null,human,null
neoadjuvant anti-pd-1 immunotherapy promotes a survival benefit with intratumoral and systemic immune responses in recurrent glioblastoma,adult glioblastoma,null,null,glioblastoma,null
"transcriptome-profiling (rna-seq) and ribosome-profiling (ribo-seq) in proliferation, quiescence, senescence and transformed states.",null,null,proliferative region,null,rna
transposon-based construction of strand-specific rna-seq libraries,null,null,null,null,rna
active braf-v600e is the key player in generation of a sessile serrated polyp-specific dna methylation profile (rna-seq data set),polyp,null,null,polyp,rna
"analysis of histological, genomic, molecular, and clinical factors in cns cancer: the neuro-oncology group",central nervous system cancer,central nervous system,central nervous system,cancer,null
deep sequencing identified serum extracellular vesicle delivered mir-181a-5p as an indicator for bone-metastatic prostate cancer,metastatic prostate carcinoma,serum,blood serum,vesicle,null
dissecting neural differentiation regulatory networks through epigenetic footprinting,null,null,null,null,null
genome-wide maps of dna methylation and gene expression for  multiple  regions  within  a  breast tumor [rna-seq],breast neoplasm,breast,breast,null,rna
global analysis of alternative splicing regulated by rbm10,null,null,null,null,null
global long terminal repeat activation participates in establishing the unique gene expression program of classical hodgkin lymphoma [rna-seq],classic hodgkin lymphoma,null,null,classical hodgkin lymphoma,rna
"human embryonic stem cell, chimpanzee induced pluripotent stem cell, orangutan induced pluripotent stem cell, rhesus embryonic stem cell, and their derived cortical organoid rna-seq",null,hesc cell,embryonic stem cell,human,rna
investigation about fibroblasts of different origins in culture,null,null,null,investigation,null
macrophage ad5f35 phenomap,null,macrophage,macrophage,null,null
neutrophils rnaseq from generalised pustular psoriasis patients and healthy individuals,pustular psoriasis,null,null,neutrophils,null
rna sequencing based comparative analysis of human hepatic progenitor cells and their niche from alcoholic steatohepatitis livers,alcoholic fatty liver disease,null,null,human,rna
"rna-seq of mllt3-overexpressing cultued hspc, compared to non-overexpressing and uncutured fl-hspc [rnaseq_mllt3_oe]",null,null,null,null,rna
three congruent human schwann cell models of cmt1a reveal a converged phenotype,charcot-marie-tooth disease type 1a,schwann cell,schwann cell,human,null
transcriptome-wide study of the response of human trabecular meshwork cells to the substrate stiffness increase,null,reticulum trabeculare,eye trabecular meshwork,human,null
transcriptomic analysis of different human cardiac cell types produced in vitro from human pluripotent stem cells or derived from patients.,null,stem,cell,human,null
a druggable tcf4- and brd4-dependent transcriptional network sustains malignancy in blastic plasmacytoid dendritic cell neoplasm (rna-seq),cancer,plasmacytoid dendritic cell,plasmacytoid dendritic cell,cell,rna
a human transcriptome array for high-throughput clinical studies (with a comparison to rna-seq technology) [rna-seq],null,null,null,human,rna
a map of gene expression in neutrophil-like cell lines,mutyh-related attenuated familial adenomatous polyposis,neutrophil,neutrophil,cell,null
activating pax gene family paralogs to complement pax5 leukemia driver mutations,childhood leukemia,null,null,leukemia,null
activation of neuronal genes via line-1 elements upon global dna demethylation in human neural progenitors,null,null,null,human,atom
adaptation of the kinome promotes resistance to bet bromodomain inhibitors in ovarian cancer,ovarian cancer,null,null,ovarian cancer,glycine betaine
aging-associated patterns in the expression of human endogenous retroviruses,null,null,null,human,null
alternative splicing as a targetable modulator of apobec-mediated mutagenesis,null,null,null,null,null
an ebna3a-mutated epstein-barr virus (ebv) retains the capacity for lymphomagenesis in a cord blood-humanized mouse model,null,umbilical cord blood,umbilical cord blood,virus,null
antiviral innate immunity of hepatitis c virus-infected stem cell-derived hepatocytes,hepatitis c,stem,stem cell,hepatitis c,null
b-catenin-mediated upregulation of the asbel-tcf3 complex is critical for tumorigenicity of colon cancer cells,colorectal cancer,colon,colon,tumorigenicity,null
ccni mrna editing,null,null,null,null,null
characterizing the contrasting roles of jmjd3 and utx histone demethylases in t cell acute lymphoblastic leukemia [short_hairpins_rna-seq],acute lymphoblastic leukemia (disease),t-lymphocyte,t cell,cell,rna
"comparison of 7 small cell lung cancer pdx models, cultured ex vivo, for response to lsd1 inhibitor rg6016/ory1001",small cell lung carcinoma,lung,cell,small cell lung cancer,null
complete deconvolution of cellular mixtures based on linearity of transcriptional signatures,null,null,null,null,null
consequences of ribosomal protein haploinsufficiency in human hematopoiesis,null,null,protein,protein,protein
degenerate 3'utr dna and rna sequence data,null,null,null,null,rna
differential expression of genes in hcmv-infected fibroblasts regulated by the purinergic receptor p2y2.,null,null,null,receptor,null
differential expression of human trna genes drives the abundance of trna-derived fragments,null,null,null,human,null
discovery of a drug candidate for glis3-associated diabetes,diabetes mellitus (disease),null,null,diabetes,null
dynamic reorganization of the cardiomyocyte transcriptome in response to tnfa-induced proinflammatory signaling [gro-seq],null,cardiac muscle fiber,cardiac muscle cell,null,glycerin
expression data from fresh human embryonic lung epithelial tip and stalk cells and cultured organoids derived from tip and stalk.,lung neoplasm,lung,lung,human,null
gene expression analysis of breast cancer cell-lines,breast cancer,breast cancer cell,breast,breast cancer,null
gene expression data of human triple-negative breast cancer (tnbc),triple-negative breast carcinoma,breast,breast,human,null
gene expression of human t cells stimulated in the presence of tgf-ß,null,null,null,human,null
gene expression response to 5 microbial stimuli in detroit562 cells [rna-seq],null,null,null,null,rna
genome-wide profiling of cervical rna-binding proteins identified hpv regulation of rnaseh2a expression by viral e7 and e2f1,null,null,hepatic portal vein,null,rna
global unleashing of transcription elongation waves in response to genotoxic stress restricts somatic mutation rate,null,null,null,stress,null
grape proanthocyanidins modulate microrna expression in human pancreatic cancer cells,malignant pancreatic neoplasm,null,null,human,null
high-throughput translational profiling with riboplate-seq,null,null,null,null,null
homo sapiens clone ends,null,null,homo sapiens,null,null
human ectocervical epithelium sequencing in response to menstrual hormones,null,epithelium,ectocervical epithelium,human,null
human embryonic stem cell-derived expandable hepatic organoids  enable pathophysiological model of alcoholic liver injury,injury,hesc cell,embryonic stem cell,human,null
human hek293  rna raw sequence reads,null,null,null,human,rna
human mait cells exit peripheral tissues and re-circulate via lymph in steady state conditions,null,lymph,lymph,human,null
human rela haploinsufficiency results in autosomal dominant chronic mucocutaneous ulceration: the transcriptional profile of rela haploinsufficient patients,ulcer disease,null,null,human,null
human variation in polii and nf-kappab binding (rna-seq study uninduced by tnf-alpha),null,null,null,human,binding
iclip transcriptome-wide mapping of unr (csde1) binding sites,null,null,null,null,binding
identification of a lif-responsive replication-competent human ß cell,null,null,cell,human,null
identification of long noncoding rnas regulated by p53,null,null,null,null,null
induction of sertoli-like cells from human fibroblasts by nr5a1 and gata4,null,null,null,human,null
influence of mir-21-regulated pathways on t cell responses,null,t-lymphocyte,t cell,cell,null
integrated epigenomic and transcriptomic profiling of terminal human erythropoiesis [rna-seq],null,null,null,human,rna
integrative auf1 par-clip analysis uncovers auf1 roles in translation and genome integrity (rna-seq 1),null,null,null,null,rna
isg knockdown effects on gene expression,null,null,null,null,null
l1cam dependent transcriptional programs in brain metastatic cells,null,brain,brain,null,null
landscape of somatic mutations in b lymphocytes across human lifespan,null,null,life cycle,lymphocytes,null
large-scale epigenetic reprogramming is punctuated late during the evolution of pancreatic cancer progression [rna-seq],malignant pancreatic neoplasm,scale,scale,pancreatic cancer,rna
long-term in vitro expansion of epithelial stem cells enabled by pharmacological inhibition of pak1-rock-myosin ii and tgf-ß signaling (rna-seq),null,stem,signaling,null,rna
low mitf/axl ratio predicts early resistance to multiple targeted drugs in melanoma,melanoma (disease),null,null,melanoma,null
m6a ip from bru-labeled nascent rna (non-fragmented).,null,null,null,null,rna
m6a sequence of caprin1 mov10 tra2a,null,null,null,null,null
mammalian cells response to hypoxia stress,null,null,response to hypoxia,hypoxia,null
metabolism as an early predictor of dpscs aging,null,null,null,null,null
mir-10a-5p and mir-29b-3p as extracellular vesicle-associated prostate cancer detection markers,prostate cancer,prostate gland,extracellular vesicle,vesicle,null
mir-135 suppresses glycolysis and promotes adaptation to metabolic stress in pancreatic cancer cells by targeting phosphofructokinase-1,malignant pancreatic neoplasm,null,null,stress,null
mutant fus and elavl4 (hud) aberrant crosstalk in amyotrophic lateral sclerosis,amyotrophic lateral sclerosis,null,null,crosstalk,null
neuronal impact of patient-specific aberrant nrxn1a splicing [targeted],null,null,null,null,null
"osmostress induced changes of chromatin architecture and transcription in mammalian cells [rna-seq, hic]",null,null,null,null,rna
pan-cancer transcriptomic analysis associates long non-coding rnas with key driver mutational events,polyarteritis nodosa,null,pan,cancer,null
pervasive functional translation of noncanonical open reading frames,null,null,open,null,null
precursor states of brain tumor initiating cell lines are predictive of survival in xenografts and associated with glioblastoma subtypes,brain neoplasm,brain,brain,brain tumor,null
presence of nad+-capped rna in human cells: function and removal by the dxo denading protein,neutrophil actin dysfunction,null,protein,human,nad
profile of rnas bound by wild-type (wt) or r534h variant of ddx3 with or without sodium arsenite treatment [iclip-seq],null,null,null,sodium,sodium
quantseq of immunoprecipitated mrna with cbp80 and eif4e,null,null,null,null,null
rab39a-knockdown spheres,null,null,null,null,null
reprogramming of tumor-infiltrating immune cells in early stage of nsclc,neoplasm (disease),null,life cycle stage,null,null
ribonuclease l and metal-ion-independent endoribonuclease cleavage sites in host and viral rnas,isolated optic neuritis,null,ion,null,metal atom
rna immunoprecipitation and sequencing of aminoacyl-trna synthetase-specific genes,null,null,null,null,rna
"rna sequencing of human neural progenitor cells, sk-n-sh, following chd8 knockdown",null,null,null,human,rna
rna-biotin based pull down assay with polya site (pas) rna substrates in hela nuclear extract followed by rna-seq to discover trans-acting rna molecules involved in mrna 3’ processing,gonorrhea,null,null,null,rna
rna-seq analysis of otud6b,null,null,null,null,rna
rna-seq analysis of yfv-17d specific and total naive cd8 t cells in humans,null,null,null,null,rna
rna-seq ko phf5a,null,null,null,null,rna
rna-seq mcf10 series,null,null,null,null,rna
rna-seq of lrrk2 g2019s parkinson's ipsc-derived astrocytes,null,null,null,null,rna
rna-seq of the spliced products from a mutated minigene reporter library in hek293t cells.,null,null,null,null,rna
"rna-seq reveals abundant circrna, lncrna and mrna in blood exosomes of patients with pancreatic carcinoma",exocrine pancreatic carcinoma,blood,blood,pancreatic carcinoma,rna
rna-sequencing of cd19 and cd22 chimeric antigen receptor (car) t-cell treated primary leukemia samples,caronte,t-lymphocyte,t cell,receptor,rna
rna-sequencing of human neurons expressing the lncrna rps10p2-as1,"asthma-related traits, susceptibility to, 1",null,null,human,rna
rnaseq libraries to study developmental alternative polyadenylation in human primitive streak progenitors derived from hescs.,null,null,primitive streak,human,null
screening in human cardiac organoids identifies a requirement for the mevalonate pathway in cardiomyocyte proliferation,null,cardiac muscle fiber,cardiac muscle cell,human,null
simultaneous measurement of transcripts and proteins from single cells,null,null,null,null,proteins
single amino acid change underlies distinct roles of h2a.z subtypes in human syndrome,syndromic disease,null,null,human,amino acid
single-cell id-seq identifies bmp signaling as a driver of a late stage epidermal differentiation program,null,null,cell,cell,null
"single-cell rna-sequencing of skin, fresh blood, and cultured peripheral blood mononuclear cells from a patient with drug-induced hypersensitivity syndrome and healthy volunteers",skin neoplasm,skin,cell,cell,rna
small-molecule-based human genome g4 profiling reveals potential gene regulation activity,null,null,molecule,human,molecule
ß-catenin/tcf7l2 dependent transcriptional regulation of glut1 gene expression by zic family proteins in colon cancer,colorectal cancer,colon,colon,colon cancer,proteins
stable oxidative cytosine modifications accumulate in cardiac mesenchymal cells from type2 diabetes patients: rescue by alpha-ketoglutarate and tet-tdg functional reactivation [human cells rna-seq],diabetes mellitus (disease),null,null,diabetes,rna
stranded-cytoplasmic and whole-cell rnas,null,null,cell,cell,null
t- and b- cell repertoire extraction from rna-seq data,null,null,cell,cell,rna
tgf-b-activated lncrna linc00115 is a critical regulator for glioma stem-like cell tumorigenicity,glioma,stem,cell,glioma,null
the human zc3h3 and rbm26/27 proteins are critical for paxt-mediated nuclear rna decay,null,null,null,human,proteins
time series single-cell transcriptomic analysis of aec2 directed differentiation,null,null,cell,cell,null
tnf-a induces il-32 expression in hek293 cells,null,null,null,null,null
transcriptome of human chorioamniotic membranes of severe preterm birth,null,null,start of neonate stage,human,null
transcriptome-wide profile of cerebral cavernous malformations patients reveal important long noncoding rna molecular signatures,familial cerebral cavernous malformation,null,cavernous sinus,null,rna
trisomy of a 'down syndrome critical region' globally amplifies transcription via hmgn1 overexpression [slam-seq],autosomal trisomy,null,null,null,null
u2os mrna raw sequence reads,null,null,null,null,null
umi-count modeling and differential expression analysis for single-cell rna sequencing,null,null,cell,cell,rna
vamp8 contributes to trim6-mediated type-i interferon antiviral response upon west nile virus (wnv) infection,infectious disease,null,null,virus,null
car t cell trogocytosis and cooperative killing   regulate tumour antigen escape,caronte,t-lymphocyte,t cell,cell,null
"detection and characterization of cancer mutations in lung cancer cells using a long-read and portable sequencer, minion",cancer,lung,lung,cancer,null
dmso cryopreservation: the method of choice for droplet-based single-cell rna sequencing of preserved cells [drop-seq],null,null,cell,cell,dimethyl sulfoxide
"dual rna-seq of neisseria gonorrhoeae and human neutrophils, and whole genome sequencing of bacterial isolates used in the study",null,null,null,human,rna
effect of hyperfractionated irradiation (hfrt) of prostate primary basal cells (preps) on the transcriptome,null,prostate gland,prostate gland,null,null
"finding new chimeric rnas in rna-seq data, a test study in acute myeloid leukemia patient cells",acute myeloid leukemia,null,exoskeleton,finding,rna
gene expression changes caused by kras in mcf-10a,null,null,null,null,null
gene expression kinetics for human and mouse t cells following few hours stimulation,null,null,null,human,null
genome-wide dna methylation encodes cardiac transcriptional reprogramming in human ischemic heart failure [rna-seq],heart failure,heart,heart,human,rna
herbal formula yyjd induces lung cancer cell apoptosis via activation of egr1 (rna-seq),lung cancer,lung cancer cell,lung,lung cancer,rna
heterogeneous pathway activation and drug response modelled in colorectal-tumor-derived 3d cultures,neoplasm (disease),null,null,null,null
human bronchial epithelial cells exposed to interleukin 1 beta,null,null,null,human,null
iclip-based modeling uncovers 3' splice site definition: how u2af65 specificity relies on regulation by co-factors [in vivo iclip],null,null,null,null,site
mettl3 promotes translation in human cancer cells,cancer,null,null,human,null
"mrna cap methyltransferase, rnmt-ram, promotes rna pol ii transcription",null,pileus,null,null,rna
mutant p53 controls tumor metabolism and metastasis by regulating pgc-1a,neoplasm (disease),null,null,metastasis,null
omics catalogue of lung adenocarcinoma cell lines,lung adenocarcinoma,lung adenocarcinoma cell,lung,lung adenocarcinoma,null
organoids derived from directly reprogrammed human hepatocytes for modeling liver cancer initiation,liver cancer,liver,liver,human,null
"poly(a)-clickseq resolves cf25-mediated alternative poly-adenylation, hela",null,null,neutrophil,null,null
ribozyme-enhanced single-stranded ago2-processed interfering rna triggers efficient gene silencing with fewer off-target effects.,null,null,null,null,rna
rna-seq anlalysis of prostate cancer cell lines using next generation sequencing,prostate cancer,prostate gland cancer cell,prostate gland,prostate cancer,rna
robust generation of honemogeneous midbrain organoids with in vivo–like cellular composition facilitates neurotoxin-based parkinson's disease modeling,parkinson disease,midbrain,midbrain,parkinson's disease,null
small rna analysis of exosomes released by human colon cancer sw480 and metastasis sw620 cell lines,colorectal cancer,colon,colon,human,rna
small rna sequencing of human prostate cancer samples,prostate cancer,prostate gland,prostate gland,human,rna
transcriptome-wide discovery of microrna binding sites in human brain by ago2 hits-clip [ago2-mirna complexes],null,brain,brain,human,binding
transcriptome-wide discovery of microrna binding sites in human brain by ago2 hits-clip [ago2-mirna-target mrna complexes],null,brain,brain,human,binding
transcriptomic analyses of adipocyte differentiation from human mesenchymal stromal-cells (msc),null,adipocyte,fat cell,human,null
treatment-induced tumor dormancy through yap-mediated transcriptional reprogramming of the apoptotic pathway [scrnaseq],neoplasm (disease),null,null,null,treatment
aberrant downstream mechanisms following loss of kmt2c and kmt2d in pancreatic ductal adenocarcinoma,pancreatic ductal adenocarcinoma,null,null,adenocarcinoma,null
alternative classification of glioblastoma based on bub1b-inhibition sensitivity,adult glioblastoma,null,null,classification,null
an sirna screen identifies chd4 as a target for epigenetic therapy,null,null,null,null,null
analysis of splicing affecting mutations in smn1 exon 7,null,null,null,null,null
analysis of the tgfb-induced program in primary airway epithelial cells shows essential role of nf-kb/rela signaling network in type ii epithelial mesenchymal transition,null,null,respiratory tube,null,role
apobec mutation drives early-onset squamous cell carcinomas in recessive dystrophic epidermolysis bullosa,recessive dystrophic epidermolysis bullosa,null,cell,cell,null
argininosuccinate lyase deficiency causes an endothelial-dependent  form of hypertension,argininosuccinic aciduria,null,null,argininosuccinate lyase deficiency,null
bioengineered brain organoids for probing impaired neurogenesis in prenatal alcohol exposure,null,brain,brain,null,alcohol
bioinformatics analysis of transcriptome related to blood stasis syndrome in diabetes mellitus patients,blind loop syndrome,blood,blood,stasis syndrome,null
canonical and non-canonical regulatory roles of androgen receptor variant 7 in prostate cancer,prostate cancer,prostate gland,prostate gland,receptor,androgen
cdk12 regulates alternative last exon mrna splicing and promotes invasion of a breast cancer cell line,breast cancer,breast cancer cell line,breast,breast cancer,null
cdk4 inhibition diminishes p53 activation by mdm2-antagonists,null,null,null,null,null
characterization of the difference of mrna and lncrna profiling between cisplatin-resistance and regular t24 bladder cancer cells,childhood bladder carcinoma,bladder,bladder organ,bladder cancer,cisplatin
chd1 regulates cell fate determination by activation of  differentiation-induced genes,null,null,cell,cell,null
circrna-sequencing,null,null,null,null,null
comprehensive off-target analysis of dcas9-sam-mediated hiv reactivation via long noncoding rna and mrna profiling,null,null,null,null,s-adenosyl-l-methionine
controlling for gene expression changes in transcription factor protein networks.,null,null,protein,protein,protein
coordinate regulation of alternative pre-mrna splicing events by the human rna chaperone proteins hnrnpa1 and ddx5,null,null,pigmented layer of retina,human,rna
culture of human embryonic stem cells in different media,null,stem,null,culture,null
dermal fibroblasts play a central role in skin model protection against c. albicans invasion,skin neoplasm,skin,rostral octaval nerve motor nucleus,null,role
dexamethasone inhibits respiratory syncytial virus-driven mucus production while increasing viral replication without altering antiviral interferon signaling,null,null,mucus,virus,dexamethasone
differential gene expression between human colon cancers and the adjacent nomral colon tissues.,null,colon,colon,human,null
direct detection of circulating microrna-122 using dynamic chemical labelling with single molecule detection overcomes stability and isomir challenges for biomarker qualification,null,null,molecule,chemical,molecule
disrupting ß-catenin dependent wnt signaling activates an invasive gene program predictive of colon cancer progression,colorectal cancer,colon,signaling,colon cancer,null
dissociating fibrosis from inflammation in systemic sclerosis – the case of interleukin-17a,systemic sclerosis,null,null,fibrosis,null
dual rna-sequencing of nontypeable haemophilus influenzae and host cell transcriptomes reveals new aspects of host-pathogen interface,null,null,cell,cell,rna
dysregulation of the il-12/stat4 pathway in natural killer cells in primary biliary cholangitis,primary biliary cholangitis,null,null,primary biliary cholangitis,null
effect of selective glucocorticoid receptor modulation (sgrm) on gene expression in human prostate cancer cell lines,prostate cancer,prostate gland cancer cell,prostate gland,receptor,glucocorticoid
effects of cardiac glycosides on rna expression in prostate cancer lncap-abl cells,prostate cancer,prostate gland,prostate gland,prostate cancer,glycoside
enhancer activation during egf response,null,null,null,null,null
eosinophilic esophagitis has a subepithelial regulatory adaptive immune response,eosinophilic esophagitis,null,immune response,eosinophilic esophagitis,null
evaluate the sensitivity of cdk4/6 inhibitors in escc,hypersensitivity reaction disease,null,null,null,null
"expanding the cite-seq tool-kit: detection of proteins, transcriptomes, clonotypes and crispr perturbations with multiplexing, in a single assay",null,null,null,null,proteins
expression profiling of pancreatic adenocarcinoma and ductal adenocarcinoma cell lines.,pancreatic adenocarcinoma,adenocarcinoma cell,cell,pancreatic adenocarcinoma,null
extracellular vesicles transfer the receptor pd-1 in rheumatoid arthritis.,rheumatoid arthritis,null,null,vesicles,null
"ezh2 and bcl6 cooperate to assemble cbx8-bcor polycomb complex to repress bivalent promoters, mediate germinal center formation and promote lymphomagenesis [rna-seq]",null,germinal center,germinal center,null,rna
"field cancerized fibroblasts in primary culture, p2",null,primary culture,anlage,culture,null
gene expression analysis of brd4 knockdown in ht-29 and hct116 cells,null,null,null,null,null
gene expression changes associated with high density collagen microenviroment in cancer cells,cancer,null,null,cancer,collagen
gene expression in normal and cancer associated oral fibrolasts,cancer,null,null,cancer,null
gene expression profile in human unruptured intracranial aneurysms,null,null,null,human,null
"genome wide association study of bone size yields eleven loci that also affect height, bone density, osteoarthritis and fractures",osteoarthritis,bone,bone element,osteoarthritis,null
"genome-wide characterization of long nonpolyadenylated rnas, experiment ii",null,null,null,null,null
genome-wide rna deep sequencing of cal-101 or akti primed human t cells in comparison to traditionally expanded t cells,null,null,null,human,rna
genomics of pediatric renal medullary carcinomas,null,null,null,null,null
global changes in chromatin accessibility and transcription after atrx inactivation in human cancer cells,alpha thalassemia-x-linked intellectual disability syndrome,null,null,human,null
global transcriptional analysis of human spinal cord and neocortical neuroepithelial stem (nes) cells,null,spinal cord,spinal cord,human,null
global transcriptional changes in the jjn3 myeloma cell line that occur as a result of treatment with 2 pyrrolobenzodiazepine (pbd) monomers,plasma cell myeloma,myeloma cell line,cell,myeloma,treatment
"h3b-8800, a novel oral splicing modulator, induces lethality in spliceosome mutant cancers [nalm-6]",null,null,null,null,null
"high-resolution liver cancer genomic profiling links etiology, epigenetic and mutation signatures [rna-seq]",liver cancer,liver,liver,cancer,rna
high-throughput rna-sequencing of human macrophages infected with mycobacterium abscessus smooth and rough variants,null,null,null,human,rna
histone h3 lysine 4 acetylation-methylation dynamics define breast cancer subtypes [rna-seq],breast cancer,breast,breast,breast cancer,lysine
homo sapiens small rna sequencing,null,null,homo sapiens,null,rna
human angiogenin is sufficient but not required for trna cleavage to generate trna fragments,null,null,null,human,null
ibrutinib blocks yap1 activation and reverses brafi resistance in melanoma cells,melanoma (disease),null,null,melanoma,ibrutinib
identification of il-27 as potent regulator of inflammatory osteolysis associated with vitamin e-blended ultra-high molecular weight polyethylene debris of orthopedic implants,lytic metastatic bone lesion,null,null,osteolysis,vitamin e
identification of the networks that regulate human monocytic myeloid-derived suppressor cell differentiation into inflammatory macrophages,null,null,cell differentiation,human,null
igg-sequences of csf resident b-cells,null,cerebrospinal fluid,cerebrospinal fluid,igg,null
in vitro and in vivo modulation of alternative splicing by the biguanide metformin.,null,null,null,null,hepatitis b immune globulin
increasing mirna sequencing accuracy using an rna circularization approach,null,null,null,null,rna
induction of apoptosis in human hepatoma cells by bcp &pc mutant of geenotype d1 hepatitis b virus,hepatocellular carcinoma,null,null,apoptosis,null
"integrated genome-wide analysis of transcription factor occupancy, rna polymerase ii binding and steady-state rna levels identify differentially regulated functional gene classes",null,null,null,null,rna
intron retention induced by microsatellite expansions as a disease biomarker.,disease or disorder,null,null,null,null
investigate the mirnas that played a regulatory role in the development of aeh,null,null,rostral octaval nerve motor nucleus,null,role
junb is a critical ap1 component for smad2/3 binding after tgfß stimulation [rna-seq],null,null,null,null,binding
kiaa1551 chip-seq and rna-seq after kiaa1551 knock-down,null,null,null,null,rna
loss of chd1 facilitates oncogenic hijacking of ar during cancer progression [rna-seq],cancer,null,null,cancer,rna
lotte-seq: highly specific selection of trnas with 3'-cca end for high-throughput sequencing,cholangiocarcinoma,null,null,null,null
mechanistic study on small molecule (rg7800) regulation on smn2 splicing,null,null,molecule,null,molecule
mek inhibition rewires enhancer landscapes in ras-driven rhabdomyosarcoma to unlock a myogenic differentation block,rhabdomyosarcoma (disease),null,null,rhabdomyosarcoma,null
memory t cells targeting unique and shared oncogenic mutations detected in peripheral blood of epithelial cancer patients,cancer,peripheral blood,memory,cancer,null
micro-rna as biomarkers in pompe disease,glycogen storage disease ii,null,null,null,rna
microrna-dependent regulation of biomechanical genes establish tissue stiffness homeostasis,null,null,tissue,tissue,null
"microsatellite expansion rna visualization, elimination, and reversal of molecular pathology by rna-targeting cas9",null,null,null,null,rna
mir-126 orchestrates an oncogenic program in b-cell precursor acute lymphoblastic leukemia,acute lymphoblastic leukemia (disease),pre-b-lymphocyte,b cell,cell,null
mirna profiles of exosomes derived from hypoxic and normoxic oral squamous cell carcinoma,oral cavity squamous cell carcinoma,null,cell,hypoxic,null
mitochondrial levels globally modulate gene expression,null,null,null,null,null
modulation of gene transcription and epigenetics of colon carcinoma cells by bacterial membrane vesicles,colon carcinoma,colon,colon,colon carcinoma,null
modulation of nonsense-mediated decay by rapamycin,null,null,null,null,null
mrna expression profile of lymphocytes by high-throuput sequencing,null,null,null,lymphocytes,null
mtorc1 balances cellular amino acid supply with demand for protein synthesis through post-transcriptional control of atf4,null,null,protein,protein,amino acid
multi-omic measurements of heterogeneity in hela cells across laboratories,null,null,null,null,null
multiple on- and off-target mechanisms of resistance to lorlatinib in alk-driven cancer in vitro and in vivo,cancer,null,null,cancer,lorlatinib
myc interacts with the g9a histone methyltransferase to drive transcriptional repression and tumorigenesis,null,null,null,null,null
n6-methyladenosine (m6a) profiling of endoc-bh1 cell line and rna seq of mettl14 knockout mice beta cell,null,pancreatic beta cell,cell,cell,rna
new global mirseq analysis of “mirnome”: the example of ptc and nodal metastases,null,null,null,metastases,null
next generation sequencing facilitated differential transcriptome study of melanocytes treated with uvb radiation compared to matched fibroblasts and keratinocytes,null,null,null,null,null
next generation sequencing facilitates comparisons of control and schizophrenia-patient derived hipsc-derived neurons,schizophrenia (disease),null,null,schizophrenia,null
next generation sequencing facilitates quantitative analysis of mir-29b-1 and mir-29a targets in tamoxifen-sensitive and tamoxifen-resistant human breast cancer cells,hypersensitivity reaction disease,breast,breast,human,tamoxifen
"next-generation sequencing of control (scramble) and myo1c knockdown human podocytes, with and without tgf-ß treatment",null,null,null,human,treatment
overexpression of nfib and ybx1 in mcf-7 cells,neurofibroma,null,null,null,null
pilot transcriptome analysis of human ipsc-derived healthy control vs. schizophrenia cortical interneurons,schizophrenia (disease),null,null,human,null
platelet transcriptome profiling in hiv and abcc4 as a biomarker of platelet activity,null,blood platelet,platelet,activity,null
pld6-knockdown in hek293t cells,null,null,null,null,null
plzf targets developmental enhancers for activation during osteogenic differentiation of human mesenchymal stem cells (rna-seq),null,stem,null,human,rna
precise gene editing preserves hematopoietic stem cell function following transient p53-mediate dna damage response [bulk rna-seq],null,hematopoietic stem cell,hematopoietic stem cell,cell function,function
primary pancreatic tumor-associated fibroblast rna-seq,malignant pancreatic neoplasm,fibroblast,fibroblast,null,rna
pro-seq of mel624 control and pcif1 ko cells,null,null,null,null,null
proteomics and transcriptomics of peripheral nerve tissue and cells unravel new aspects of the human schwann cell repair phenotype,null,peripheral nerve,nerve,tissue,null
quantitative analysis of bi-modal binding of bet proteins at promoters predicts i-bet sensitivity,hypersensitivity reaction disease,null,null,null,binding
rapid and efficient conversion of human fibroblasts into functional neurons by small molecules,null,null,null,human,molecule
regulation of mirna-29c and its downstream pathways in preneoplastic progression of triple negative breast cancer,breast cancer,breast,breast,triple negative breast cancer,null
respecifying human ipsc-derived blood cells into highly engraftable hematopoietic stem and progenitor cells with a single factor,null,blood,blood,human,null
rg/rgg boxes are common binding motifs in rna-g-quadruplex-interacting proteins,not rare,null,null,null,binding
ribosomal protein rpl26 is the principal target of ufmylation,null,null,protein,protein,protein
rna ligation precedes u6 snrna/line-1 retrotransposition,null,null,null,null,rna
rna sequencing of human mammary epithelial cells,null,null,null,human,rna
rna sequencing of human pulmonary artery endothelial cells transfected with mir-181 and mir-324,endotheliitis,pulmonary artery,pulmonary artery,human,rna
